                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89336,                0.69643,                 1.2053,                0.68058,                0.65759,                0.69702,                0.43094,                 1.2394,                0.85028,                 1.3469,              0.0011139,              0.0011139,              0.0011139
                     36,                0.88756,                 0.6921,                 1.2013,                 0.6879,                 0.7589,                0.73283,                0.43704,                 1.2641,                0.92557,                 1.3884,              0.0011098,              0.0011098,              0.0011098
                     37,                0.88479,                0.68936,                 1.1994,                0.64496,                0.68276,                0.68168,                0.40554,                 1.2528,                0.94628,                 1.3581,              0.0011056,              0.0011056,              0.0011056
                     38,                0.88239,                0.68486,                 1.2021,                0.76076,                0.52924,                0.61446,                 0.3887,                 1.2145,                0.90923,                 1.3343,              0.0011015,              0.0011015,              0.0011015
                     39,                0.87945,                0.68606,                  1.201,                0.58524,                0.69652,                0.68611,                0.42079,                 1.2681,                0.89934,                  1.374,              0.0010974,              0.0010974,              0.0010974
                     40,                0.87707,                 0.6931,                 1.2024,                0.67009,                0.71338,                0.70362,                0.45196,                 1.2464,                0.88555,                 1.3647,              0.0010933,              0.0010933,              0.0010933
                     41,                0.87237,                0.67193,                 1.1951,                0.72501,                0.66901,                0.69586,                0.44231,                 1.2696,                0.82292,                 1.3756,              0.0010891,              0.0010891,              0.0010891
                     42,                0.86934,                0.66876,                 1.1949,                0.70927,                0.61869,                0.68967,                 0.4287,                 1.2746,                0.90189,                 1.3766,               0.001085,               0.001085,               0.001085
                     43,                0.87839,                0.67348,                 1.1993,                0.61364,                0.70679,                0.66866,                0.40631,                 1.2647,                0.95252,                 1.3693,              0.0010809,              0.0010809,              0.0010809
                     44,                0.86431,                0.66451,                 1.1853,                0.65677,                0.70966,                0.67094,                0.38819,                  1.274,                0.89119,                 1.3729,              0.0010768,              0.0010768,              0.0010768
                     45,                0.87138,                0.66197,                 1.1904,                0.66888,                0.64065,                0.64247,                0.38806,                 1.2483,                0.88921,                 1.3568,              0.0010726,              0.0010726,              0.0010726
                     46,                 0.8673,                0.65661,                 1.1843,                0.70146,                0.64849,                0.65753,                0.41384,                 1.2224,                0.85404,                 1.3479,              0.0010685,              0.0010685,              0.0010685
                     47,                0.86396,                 0.6551,                 1.1867,                0.73467,                0.67832,                0.67008,                0.40838,                 1.2633,                0.93203,                 1.3831,              0.0010644,              0.0010644,              0.0010644
                     48,                0.84613,                  0.646,                 1.1771,                0.71082,                0.71746,                0.70634,                0.44003,                 1.2335,                0.84133,                  1.343,              0.0010603,              0.0010603,              0.0010603
                     49,                  0.863,                0.64886,                 1.1808,                0.78997,                0.65928,                0.69405,                0.44114,                 1.2173,                0.84081,                 1.3362,              0.0010561,              0.0010561,              0.0010561
                     50,                0.86134,                0.65093,                 1.1864,                0.70639,                0.73628,                 0.7477,                 0.4523,                 1.2227,                0.86767,                 1.3331,               0.001052,               0.001052,               0.001052
                     51,                0.85783,                0.64367,                 1.1793,                0.82085,                0.68057,                0.74367,                0.45989,                 1.2212,                0.84454,                 1.3276,              0.0010479,              0.0010479,              0.0010479
                     52,                0.85494,                0.63876,                 1.1762,                0.66249,                0.69746,                0.71398,                0.43724,                 1.2237,                0.83208,                 1.3218,              0.0010438,              0.0010438,              0.0010438
                     53,                0.85109,                0.63019,                 1.1751,                0.66892,                0.71092,                0.69517,                0.43229,                 1.2158,                0.82625,                 1.3234,              0.0010396,              0.0010396,              0.0010396
                     54,                0.85561,                0.64315,                 1.1798,                0.70132,                0.68178,                0.70277,                0.42745,                 1.2353,                 0.8686,                  1.349,              0.0010355,              0.0010355,              0.0010355
                     55,                0.84729,                0.63906,                 1.1771,                0.71098,                0.68666,                0.68568,                0.41353,                 1.2829,                0.88061,                 1.3907,              0.0010314,              0.0010314,              0.0010314
                     56,                0.84076,                0.62559,                 1.1676,                0.76283,                0.64632,                0.68264,                0.43454,                  1.258,                0.88881,                 1.3634,              0.0010273,              0.0010273,              0.0010273
                     57,                0.84074,                0.63351,                 1.1647,                0.73535,                0.74517,                0.72649,                0.44396,                 1.2395,                0.85296,                 1.3578,              0.0010231,              0.0010231,              0.0010231
                     58,                0.83048,                0.62183,                 1.1632,                0.75857,                0.73978,                0.76118,                0.45263,                 1.2226,                0.77152,                 1.3451,               0.001019,               0.001019,               0.001019
                     59,                0.82889,                0.60817,                 1.1603,                0.73937,                0.72918,                0.73454,                0.44411,                 1.2309,                0.80262,                 1.3339,              0.0010149,              0.0010149,              0.0010149
                     60,                0.83953,                0.62133,                 1.1727,                0.75643,                0.71663,                 0.7131,                0.43163,                 1.2226,                0.79535,                 1.3307,              0.0010107,              0.0010107,              0.0010107
                     61,                0.84002,                 0.6311,                 1.1722,                0.77444,                0.74034,                0.74917,                0.45038,                 1.2077,                 0.7994,                 1.3416,              0.0010066,              0.0010066,              0.0010066
                     62,                0.82051,                 0.6058,                 1.1546,                0.72321,                0.69349,                0.69971,                0.44774,                 1.2126,                 0.8061,                 1.3271,              0.0010025,              0.0010025,              0.0010025
                     63,                0.81689,                0.60373,                 1.1585,                0.71976,                0.69074,                0.70165,                0.43145,                 1.2388,                0.80601,                 1.3441,             0.00099837,             0.00099837,             0.00099837
                     64,                0.82669,                0.60689,                 1.1591,                0.74626,                 0.7255,                0.73907,                0.42961,                 1.2409,                  0.815,                 1.3554,             0.00099425,             0.00099425,             0.00099425
                     65,                0.83036,                0.60668,                 1.1591,                0.83858,                0.68619,                0.74191,                0.45257,                 1.2171,                0.82418,                 1.3351,             0.00099013,             0.00099013,             0.00099013
                     66,                0.82103,                0.60081,                 1.1561,                 0.6786,                0.73551,                0.69257,                0.43401,                 1.2377,                0.83718,                 1.3571,               0.000986,               0.000986,               0.000986
                     67,                0.82076,                0.60292,                 1.1572,                0.75741,                0.65745,                0.65915,                0.41705,                 1.2281,                0.82593,                 1.3483,             0.00098187,             0.00098187,             0.00098187
                     68,                0.80368,                0.59759,                 1.1481,                 0.6434,                0.66884,                0.66682,                0.42396,                 1.2248,                0.82103,                 1.3418,             0.00097775,             0.00097775,             0.00097775
                     69,                0.81758,                0.60376,                 1.1583,                0.84926,                0.71492,                0.74352,                0.46095,                 1.1934,                0.76384,                 1.3067,             0.00097362,             0.00097362,             0.00097362
                     70,                0.79993,                0.58721,                  1.146,                0.75403,                0.75929,                0.75962,                0.46003,                 1.2038,                0.77968,                  1.319,              0.0009695,              0.0009695,              0.0009695
                     71,                0.82199,                0.59853,                 1.1513,                 0.7514,                0.60163,                0.69331,                0.43044,                 1.2218,                0.86795,                  1.351,             0.00096537,             0.00096537,             0.00096537
                     72,                0.81069,                0.59411,                 1.1507,                0.71462,                0.71749,                0.72391,                0.44986,                 1.2416,                 0.8228,                 1.3582,             0.00096125,             0.00096125,             0.00096125
                     73,                0.81166,                0.59503,                 1.1478,                 0.7046,                0.63572,                0.69912,                0.45057,                 1.1936,                0.79459,                 1.3105,             0.00095712,             0.00095712,             0.00095712
                     74,                 0.7995,                0.58287,                 1.1449,                0.75187,                0.70719,                0.73532,                0.45232,                 1.2036,                0.78676,                 1.3261,               0.000953,               0.000953,               0.000953
                     75,                0.80031,                0.59234,                 1.1449,                0.76865,                0.74165,                0.74499,                0.46313,                  1.195,                0.77039,                 1.3248,             0.00094887,             0.00094887,             0.00094887
                     76,                0.80456,                0.58754,                 1.1481,                0.72437,                 0.7167,                0.71773,                0.44353,                 1.2222,                0.80019,                 1.3433,             0.00094475,             0.00094475,             0.00094475
                     77,                0.80672,                0.59529,                 1.1503,                0.79981,                0.70682,                0.71289,                0.46165,                 1.2281,                0.79657,                 1.3473,             0.00094062,             0.00094062,             0.00094062
                     78,                0.79746,                0.58569,                 1.1402,                0.81528,                0.75073,                0.76262,                0.45251,                 1.2311,                0.79585,                 1.3483,              0.0009365,              0.0009365,              0.0009365
                     79,                0.78313,                0.56454,                 1.1324,                 0.7809,                0.72304,                0.75071,                0.46012,                 1.2074,                0.78923,                 1.3182,             0.00093238,             0.00093238,             0.00093238
